order_id,customer_id,order_datetime,city,restaurant_category,order_value,delivery_fee,delivery_time_min,payment_method,order_status,delivery_type,promo_code_used
ORD100070,CUST5422,2025-04-24 03:48:50.358380,Ras Al Khaimah,Middle Eastern,110.96,8.19,31.0,Cash,Delivered,Car,No
ORD100071,CUST4598,2025-04-29 15:33:50.358387,Ajman,Desserts,16.62,6.29,20.0,Wallet,Delivered,Scooter,Yes
ORD100072,CUST6313,2025-02-07 16:59:50.358393,Ajman,Desserts,0.42,3.69,34.0,Card,Delivered,Scooter,Yes
ORD100073,CUST1916,2025-03-20 16:03:50.358400,Ras Al Khaimah,Middle Eastern,126.74,3.98,45.0,Cash,Delivered,Scooter,No
ORD100074,CUST4752,2025-06-11 16:40:50.358407,Dubai,Indian,92.03,5.16,29.0,Card,Delivered,Car,No
ORD100075,CUST1525,2025-05-19 04:44:50.358414,Ajman,Desserts,97.92,5.64,31.0,Apple Pay,Delivered,Car,No
ORD100076,CUST6168,2025-01-12 05:50:50.358420,Dubai,Fast Food,110.64,3.02,50.0,Cash,Delivered,Bike,No
ORD100077,CUST7572,2025-05-29 21:16:50.358429,Ras Al Khaimah,Healthy,5.77,6.45,18.0,Card,Delivered,Car,Yes
ORD100078,CUST5386,2025-01-23 21:39:50.358436,Sharjah,Fast Food,33.29,5.17,42.0,Card,Delivered,Car,No
ORD100079,CUST2084,2025-05-19 15:29:50.358443,Sharjah,Indian,9.24,1.57,41.0,Card,Delivered,Car,Yes
ORD100080,CUST4456,2025-05-09 22:41:50.358450,Ajman,Asian,149.14,3.14,39.0,Card,Delivered,Bike,No
ORD100081,CUST6155,2025-02-18 12:47:50.358457,Dubai,Asian,73.22,3.99,43.0,Apple Pay,Delivered,Car,Yes
ORD100082,CUST4483,2025-05-02 12:39:50.358464,Ajman,Desserts,30.14,4.85,33.0,Cash,Delivered,Scooter,Yes
ORD100083,CUST9179,2025-02-20 00:19:50.358470,Sharjah,Healthy,4.93,8.78,24.0,Wallet,Delivered,Scooter,Yes
ORD100084,CUST7482,2025-06-06 09:05:50.358476,Ras Al Khaimah,Fast Food,27.94,5.48,41.0,Cash,Cancelled,Bike,No
ORD100085,CUST8517,2025-06-05 18:02:50.358483,Dubai,Fast Food,29.5,3.32,41.0,Card,Delivered,Bike,No
ORD100086,CUST3340,2025-03-09 11:49:50.358489,Sharjah,Desserts,98.09,5.44,41.0,Wallet,Delivered,Car,Yes
ORD100087,CUST5339,2025-04-05 03:47:50.358496,Ras Al Khaimah,Asian,76.12,4.3,30.0,Wallet,Delivered,Car,Yes
ORD100088,CUST3287,2025-03-01 19:34:50.358503,Sharjah,Desserts,163.67,5.65,23.0,Wallet,Delivered,Bike,Yes
ORD100089,CUST5040,2025-04-09 23:48:50.358511,Ras Al Khaimah,Middle Eastern,47.93,6.16,32.0,Card,Delivered,Scooter,No
ORD100090,CUST9830,2025-05-10 03:09:50.358517,Ajman,Fast Food,9.55,7.42,39.0,Card,Delivered,Bike,No
ORD100091,CUST5304,2025-01-14 04:51:50.358525,Ras Al Khaimah,Healthy,93.68,4.95,40.0,Wallet,Delivered,Scooter,No
ORD100092,CUST8019,2025-06-16 21:24:50.358531,Ras Al Khaimah,Indian,107.28,8.28,26.0,Card,Cancelled,Car,No
ORD100093,CUST7543,2025-03-28 09:06:50.358538,Dubai,Middle Eastern,61.79,6.82,33.0,Card,Delivered,Car,No
ORD100094,CUST6930,2025-01-22 07:45:50.358546,Sharjah,Healthy,110.54,3.59,17.0,Wallet,Delivered,Bike,Yes
ORD100095,CUST4593,2025-05-15 07:58:50.358552,Sharjah,Asian,51.06,9.42,40.0,Card,Delivered,Scooter,No
ORD100096,CUST3266,2025-04-20 21:33:50.358558,Ras Al Khaimah,Healthy,55.48,5.65,22.0,Cash,Delivered,Car,No
ORD100097,CUST9348,2025-01-21 00:11:50.358565,Ras Al Khaimah,Asian,41.84,3.33,38.0,Card,Delivered,Scooter,No
ORD100098,CUST9085,2025-06-19 08:13:50.358577,Dubai,Middle Eastern,1.93,8.31,19.0,Card,Delivered,Car,Yes
ORD100099,CUST2489,2025-05-16 17:50:50.358583,Ras Al Khaimah,Indian,8.56,9.16,40.0,Card,Delivered,Car,Yes
ORD100100,CUST1771,2025-03-23 20:48:50.358590,Dubai,Asian,2.4,4.93,33.0,Cash,Delivered,Car,Yes
ORD100101,CUST2796,2025-05-01 00:25:50.358597,Abu Dhabi,Middle Eastern,75.88,3.99,22.0,Cash,Delivered,Car,Yes
ORD100102,CUST3504,2025-05-20 17:40:50.358604,Sharjah,Asian,28.3,4.66,37.0,Cash,Failed,Bike,Yes
ORD100103,CUST3621,2024-12-29 20:28:50.358610,Ras Al Khaimah,Asian,53.28,6.43,24.0,Cash,Delivered,Bike,No
ORD100104,CUST7916,2025-04-15 09:33:50.358617,Ajman,Desserts,178.59,7.56,37.0,Card,Delivered,Scooter,No
ORD100105,CUST2040,2025-06-01 13:00:50.358624,Abu Dhabi,Healthy,21.51,6.14,27.0,Card,Delivered,Scooter,Yes
ORD100106,CUST7304,2025-02-03 04:27:50.358632,Sharjah,Fast Food,39.62,5.2,13.0,Apple Pay,Delivered,Car,Yes
ORD100107,CUST7252,2025-02-25 00:54:50.358639,Dubai,Indian,105.66,8.0,20.0,Card,Delivered,Scooter,No
ORD100108,CUST8668,2025-02-18 11:13:50.358646,Sharjah,Indian,19.49,4.37,26.0,Card,Delivered,Scooter,No
ORD100109,CUST9669,2025-03-14 18:29:50.358660,Ajman,Desserts,6.01,7.06,44.0,Wallet,Delivered,Car,Yes
ORD100110,CUST5119,2025-05-11 18:02:50.358667,Sharjah,Middle Eastern,25.66,4.42,39.0,Card,Cancelled,Car,No
ORD100111,CUST1188,2025-04-14 12:39:50.358689,Sharjah,Desserts,13.19,5.86,46.0,Wallet,Delivered,Scooter,Yes
ORD100112,CUST2876,2025-01-26 06:26:50.358698,Sharjah,Indian,199.12,4.77,47.0,Cash,Delivered,Car,No
ORD100113,CUST9797,2025-05-13 17:59:50.358705,Dubai,Indian,123.82,4.89,25.0,Apple Pay,Cancelled,Scooter,Yes
ORD100114,CUST5371,2025-02-20 10:49:50.358712,Ras Al Khaimah,Indian,75.26,4.25,28.0,Cash,Delivered,Bike,No
ORD100115,CUST6573,2025-03-02 11:07:50.358719,Ras Al Khaimah,Asian,153.86,7.69,26.0,Card,Delivered,Car,Yes
ORD100116,CUST2827,2025-04-16 14:06:50.358971,Ras Al Khaimah,Asian,122.1,3.53,23.0,Wallet,Delivered,Bike,Yes
ORD100117,CUST5808,2025-05-28 05:21:50.358982,Ras Al Khaimah,Healthy,15.49,3.52,12.0,Card,Cancelled,Car,Yes
ORD100118,CUST8123,2025-03-07 18:09:50.358991,Ajman,Desserts,167.31,9.24,30.0,Card,Delivered,Car,No
ORD100119,CUST3591,2025-03-26 12:48:50.358998,Abu Dhabi,Indian,58.13,6.96,17.0,Wallet,Delivered,Car,Yes
ORD100120,CUST8433,2025-01-14 22:17:50.359005,Abu Dhabi,Asian,123.55,0.23,30.0,Apple Pay,Delivered,Bike,No
ORD100121,CUST1053,2025-05-13 23:13:50.359012,Sharjah,Asian,169.82,3.87,51.0,Cash,Delivered,Scooter,No
ORD100122,CUST5315,2025-04-21 06:19:50.359019,Sharjah,Desserts,28.7,1.38,25.0,Apple Pay,Delivered,Bike,Yes
ORD100123,CUST9201,2025-04-10 04:53:50.359026,Abu Dhabi,Middle Eastern,8.74,3.1,32.0,Apple Pay,Delivered,Scooter,Yes
ORD100124,CUST3927,2025-01-10 08:23:50.359033,Sharjah,Middle Eastern,19.4,-1.28,39.0,Card,Delivered,Bike,Yes
ORD100125,CUST9317,2025-03-16 00:38:50.359041,Abu Dhabi,Fast Food,41.78,4.73,33.0,Wallet,Delivered,Car,No
ORD100126,CUST2743,2025-05-09 14:18:50.359048,Ajman,Middle Eastern,127.79,2.72,33.0,Wallet,Delivered,Bike,Yes
ORD100127,CUST5889,2025-05-08 13:30:50.359055,Ras Al Khaimah,Asian,147.85,5.12,26.0,Apple Pay,Delivered,Bike,Yes
ORD100128,CUST9317,2025-06-06 18:03:50.359063,Dubai,Indian,0.52,1.75,28.0,Apple Pay,Delivered,Bike,No
ORD100129,CUST4258,2025-03-21 13:36:50.359072,Dubai,Indian,53.62,5.17,20.0,Apple Pay,Failed,Bike,No
ORD100130,CUST3504,2025-04-05 21:45:50.359080,Dubai,Healthy,40.52,4.17,38.0,Wallet,Delivered,Scooter,Yes
ORD100131,CUST7126,2025-04-04 02:45:50.359087,Dubai,Indian,18.84,8.0,13.0,Cash,Delivered,Scooter,Yes
ORD100132,CUST3646,2025-04-01 18:16:50.359095,Dubai,Asian,9.58,7.82,40.0,Apple Pay,Delivered,Scooter,Yes
ORD100133,CUST9837,2025-01-30 13:48:50.359102,Ras Al Khaimah,Healthy,30.89,6.57,16.0,Apple Pay,Delivered,Scooter,No
ORD100134,CUST9689,2025-04-26 07:41:50.359109,Sharjah,Asian,214.73,4.35,40.0,Wallet,Delivered,Bike,Yes
ORD100135,CUST1009,2025-03-18 15:07:50.359117,Dubai,Desserts,29.28,8.97,26.0,Card,Delivered,Bike,No
ORD100136,CUST6310,2025-05-01 08:32:50.359123,Ras Al Khaimah,Healthy,54.86,1.89,18.0,Apple Pay,Delivered,Bike,Yes
ORD100137,CUST9005,2025-05-29 07:28:50.359129,Sharjah,Healthy,91.06,2.19,36.0,Cash,Cancelled,Scooter,Yes
ORD100138,CUST1319,2025-01-20 03:41:50.359136,Ajman,Indian,33.9,4.83,39.0,Wallet,Delivered,Scooter,No
ORD100139,CUST2832,2025-01-29 04:19:50.359143,Ajman,Indian,267.58,9.51,26.0,Cash,Delivered,Car,Yes
ORD100140,CUST6947,2025-01-01 11:25:50.359150,Ras Al Khaimah,Fast Food,246.15,4.6,37.0,Card,Delivered,Bike,No
ORD100141,CUST6038,2025-04-04 18:33:50.359156,Ras Al Khaimah,Healthy,21.75,4.63,7.0,Cash,Delivered,Scooter,No
ORD100142,CUST4923,2025-06-12 09:14:50.359162,Ras Al Khaimah,Desserts,51.57,2.12,17.0,Apple Pay,Delivered,Car,Yes
ORD100143,CUST1949,2025-06-13 16:19:50.359170,Sharjah,Desserts,26.84,6.89,43.0,Cash,Delivered,Bike,No
ORD100144,CUST4946,2025-05-25 21:17:50.359177,Ras Al Khaimah,Middle Eastern,25.14,6.91,28.0,Cash,Delivered,Scooter,Yes
ORD100145,CUST2290,2025-05-12 05:25:50.359184,Abu Dhabi,Fast Food,2.82,6.58,11.0,Apple Pay,Delivered,Car,Yes
ORD100146,CUST2403,2025-01-24 12:30:50.359191,Abu Dhabi,Middle Eastern,70.54,3.74,23.0,Card,Delivered,Bike,No
ORD100147,CUST8962,2025-01-29 00:27:50.359197,Dubai,Indian,52.39,3.59,21.0,Card,Cancelled,Bike,No
ORD100148,CUST2133,2025-06-20 03:55:50.359204,Abu Dhabi,Indian,3.96,2.41,28.0,Apple Pay,Delivered,Bike,No
ORD100149,CUST9727,2025-01-28 23:47:50.359214,Sharjah,Indian,24.5,5.17,26.0,Cash,Delivered,Bike,Yes
ORD100150,CUST3060,2025-02-26 15:37:50.359220,Ras Al Khaimah,Indian,179.16,2.84,32.0,Card,Delivered,Scooter,No
ORD100151,CUST3103,2025-03-13 22:48:50.359227,Ajman,Middle Eastern,20.54,2.65,29.0,Apple Pay,Delivered,Bike,No
ORD100152,CUST8787,2025-02-08 08:43:50.359235,Dubai,Asian,11.74,4.15,44.0,Card,Failed,Scooter,Yes
ORD100153,CUST3705,2025-03-30 04:44:50.359242,Ras Al Khaimah,Desserts,50.42,4.02,34.0,Cash,Delivered,Car,No
ORD100154,CUST5342,2025-06-07 09:39:50.359249,Abu Dhabi,Middle Eastern,318.3,3.92,35.0,Wallet,Delivered,Bike,No
ORD100155,CUST9645,2025-03-10 01:26:50.359256,Dubai,Indian,20.79,5.93,42.0,Apple Pay,Delivered,Car,Yes
ORD100156,CUST7932,2025-04-15 13:57:50.359263,Ajman,Middle Eastern,83.64,5.16,26.0,Apple Pay,Delivered,Scooter,No
ORD100157,CUST4470,2025-03-28 12:40:50.359270,Abu Dhabi,Indian,107.54,4.42,17.0,Card,Delivered,Bike,Yes
ORD100158,CUST9835,2025-02-02 14:14:50.359277,Sharjah,Middle Eastern,20.35,5.37,42.0,Apple Pay,Delivered,Scooter,Yes
ORD100159,CUST4295,2025-01-19 23:20:50.359285,Ras Al Khaimah,Asian,97.71,3.02,31.0,Cash,Delivered,Scooter,No
ORD100160,CUST6107,2025-04-09 02:16:50.359293,Dubai,Indian,34.39,5.21,31.0,Apple Pay,Delivered,Scooter,No
ORD100161,CUST7537,2025-02-18 03:47:50.359300,Dubai,Fast Food,75.04,5.3,24.0,Card,Delivered,Bike,No
ORD100162,CUST7118,2025-05-24 13:06:50.359307,Abu Dhabi,Asian,75.29,1.99,24.0,Apple Pay,Delivered,Bike,No
ORD100163,CUST8177,2025-05-30 00:31:50.359315,Abu Dhabi,Asian,57.55,6.99,38.0,Card,Delivered,Scooter,No
ORD100164,CUST9479,2025-06-13 00:37:50.359321,Ajman,Asian,7.1,3.24,40.0,Card,Cancelled,Car,Yes
ORD100165,CUST8397,2025-05-29 13:50:50.359329,Sharjah,Middle Eastern,135.27,5.18,38.0,Wallet,Delivered,Bike,No
ORD100166,CUST2982,2024-12-30 01:18:50.359336,Abu Dhabi,Healthy,29.01,7.33,38.0,Wallet,Delivered,Bike,No
ORD100167,CUST5061,2025-04-28 19:40:50.359343,Sharjah,Indian,15.48,6.85,36.0,Apple Pay,Delivered,Car,Yes
ORD100168,CUST4681,2025-05-07 00:48:50.359350,Ras Al Khaimah,Middle Eastern,3.12,5.07,31.0,Apple Pay,Delivered,Car,Yes
ORD100169,CUST2049,2025-03-22 07:45:50.359357,Ajman,Indian,67.03,4.28,28.0,Apple Pay,Delivered,Scooter,Yes
ORD100170,CUST6539,2024-12-30 23:29:50.359365,Abu Dhabi,Fast Food,84.89,6.9,42.0,Card,Delivered,Car,Yes
ORD100171,CUST1344,2025-06-13 21:42:50.359371,Dubai,Healthy,1.25,6.35,26.0,Card,Delivered,Scooter,Yes
ORD100172,CUST4770,2025-04-08 22:29:50.359379,Sharjah,Asian,53.82,3.76,34.0,Wallet,Returned,Scooter,No
ORD100173,CUST4608,2025-04-01 02:06:50.359388,Sharjah,Desserts,19.26,3.41,22.0,Card,Delivered,Bike,No
ORD100174,CUST1117,2025-03-19 16:01:50.359395,Sharjah,Asian,77.71,0.86,23.0,Card,Delivered,Scooter,Yes
ORD100175,CUST2163,2025-05-12 20:08:50.359411,Ras Al Khaimah,Indian,14.37,5.31,28.0,Cash,Delivered,Bike,No
ORD100176,CUST1964,2025-02-27 21:37:50.359418,Abu Dhabi,Desserts,88.07,4.83,22.0,Wallet,Delivered,Scooter,Yes
ORD100177,CUST4750,2025-04-04 19:57:50.359425,Ras Al Khaimah,Indian,36.67,7.27,38.0,Apple Pay,Delivered,Bike,No
ORD100178,CUST2104,2025-01-26 11:05:50.359433,Ras Al Khaimah,Desserts,207.03,5.72,17.0,Card,Delivered,Bike,No
ORD100179,CUST1514,2025-03-02 03:38:50.359440,Ajman,Asian,11.1,7.67,31.0,Card,Delivered,Car,Yes
ORD100180,CUST6413,2025-02-11 08:30:50.359447,Ras Al Khaimah,Healthy,31.28,3.61,31.0,Card,Delivered,Scooter,Yes
ORD100181,CUST2160,2025-01-28 09:03:50.359454,Dubai,Indian,9.03,7.28,12.0,Card,Delivered,Car,No
ORD100182,CUST9423,2025-02-19 16:25:50.359461,Ras Al Khaimah,Fast Food,193.96,3.94,26.0,Card,Failed,Bike,Yes
ORD100183,CUST4899,2025-02-21 17:40:50.359468,Abu Dhabi,Fast Food,157.38,6.56,33.0,Card,Cancelled,Bike,No
ORD100184,CUST5562,2025-04-18 15:00:50.359476,Dubai,Indian,22.37,2.08,34.0,Card,Delivered,Bike,Yes
ORD100185,CUST8953,2025-06-03 13:10:50.359483,Sharjah,Asian,80.91,5.47,28.0,Cash,Delivered,Scooter,Yes
ORD100186,CUST4510,2025-04-23 03:04:50.359490,Ajman,Desserts,127.46,1.03,37.0,Card,Delivered,Scooter,Yes
ORD100187,CUST9834,2025-05-03 02:41:50.359498,Sharjah,Indian,60.76,4.47,29.0,Wallet,Cancelled,Car,Yes
ORD100188,CUST3167,2025-06-05 09:42:50.359505,Ras Al Khaimah,Middle Eastern,56.57,5.88,30.0,Card,Delivered,Scooter,No
ORD100189,CUST8744,2025-05-02 00:03:50.359512,Ras Al Khaimah,Healthy,20.77,3.96,33.0,Card,Delivered,Scooter,Yes
ORD100190,CUST4981,2025-04-30 09:53:50.359529,Sharjah,Healthy,7.33,2.9,39.0,Card,Delivered,Car,No
ORD100191,CUST8749,2025-03-18 18:14:50.359536,Ajman,Indian,170.63,6.69,23.0,Wallet,Delivered,Bike,Yes
ORD100192,CUST7669,2025-05-29 14:32:50.359544,Sharjah,Desserts,173.01,4.79,25.0,Cash,Delivered,Scooter,Yes
ORD100193,CUST4119,2025-01-24 08:13:50.359551,Ajman,Indian,75.2,4.02,23.0,Apple Pay,Delivered,Bike,Yes
ORD100194,CUST2545,2025-04-05 15:00:50.359558,Dubai,Fast Food,31.05,5.08,27.0,Card,Delivered,Car,No
ORD100195,CUST2588,2025-02-28 04:36:50.359566,Sharjah,Fast Food,32.22,10.27,44.0,Apple Pay,Delivered,Scooter,Yes
ORD100196,CUST8062,2025-02-15 20:47:50.359594,Abu Dhabi,Asian,97.08,7.31,36.0,Cash,Delivered,Bike,No
ORD100197,CUST6804,2025-05-22 16:47:50.359602,Ras Al Khaimah,Desserts,170.56,7.33,19.0,Wallet,Delivered,Bike,Yes
ORD100198,CUST7939,2025-03-23 12:17:50.359609,Abu Dhabi,Middle Eastern,163.58,5.87,24.0,Cash,Cancelled,Car,No
ORD100199,CUST7735,2025-01-17 08:33:50.359617,Ajman,Healthy,113.52,5.33,34.0,Cash,Delivered,Scooter,No
